0, 1, 2, 3, 4, 5, 6, 7, 8  -  Day:
1019, 1636, 1304, 1311, 2075, 1376, 3080, 779, 1760  -   43
1636, 1304, 1311, 2075, 1376, 3080, 1798, 1760, 1019  -   44
1304, 1311, 2075, 1376, 3080, 1798, 3396, 1019, 1636  -   45
1311, 2075, 1376, 3080, 1798, 3396, 2323, 1636, 1304  -   46
2075, 1376, 3080, 1798, 3396, 2323, 2947, 1304, 1311  -   47
1376, 3080, 1798, 3396, 2323, 2947, 3379, 1311, 2075  -   48
3080, 1798, 3396, 2323, 2947, 3379, 2687, 2075, 1376  -   49
1798, 3396, 2323, 2947, 3379, 2687, 5155, 1376, 3080  -   50
3396, 2323, 2947, 3379, 2687, 5155, 3174, 3080, 1798  -   51
2323, 2947, 3379, 2687, 5155, 3174, 6476, 1798, 3396  -   52
2947, 3379, 2687, 5155, 3174, 6476, 4121, 3396, 2323  -   53
3379, 2687, 5155, 3174, 6476, 4121, 6343, 2323, 2947  -   54
2687, 5155, 3174, 6476, 4121, 6343, 5702, 2947, 3379  -   55
5155, 3174, 6476, 4121, 6343, 5702, 5634, 3379, 2687  -   56
3174, 6476, 4121, 6343, 5702, 5634, 8534, 2687, 5155  -   57
6476, 4121, 6343, 5702, 5634, 8534, 5861, 5155, 3174  -   58
4121, 6343, 5702, 5634, 8534, 5861, 11631, 3174, 6476  -   59
6343, 5702, 5634, 8534, 5861, 11631, 7295, 6476, 4121  -   60
5702, 5634, 8534, 5861, 11631, 7295, 12819, 4121, 6343  -   61
5634, 8534, 5861, 11631, 7295, 12819, 9823, 6343, 5702  -   62
8534, 5861, 11631, 7295, 12819, 9823, 11977, 5702, 5634  -   63
5861, 11631, 7295, 12819, 9823, 11977, 14236, 5634, 8534  -   64
11631, 7295, 12819, 9823, 11977, 14236, 11495, 8534, 5861  -   65
7295, 12819, 9823, 11977, 14236, 11495, 20165, 5861, 11631  -   66
12819, 9823, 11977, 14236, 11495, 20165, 13156, 11631, 7295  -   67
9823, 11977, 14236, 11495, 20165, 13156, 24450, 7295, 12819  -   68
11977, 14236, 11495, 20165, 13156, 24450, 17118, 12819, 9823  -   69
14236, 11495, 20165, 13156, 24450, 17118, 24796, 9823, 11977  -   70
11495, 20165, 13156, 24450, 17118, 24796, 24059, 11977, 14236  -   71
20165, 13156, 24450, 17118, 24796, 24059, 23472, 14236, 11495  -   72
13156, 24450, 17118, 24796, 24059, 23472, 34401, 11495, 20165  -   73
24450, 17118, 24796, 24059, 23472, 34401, 24651, 20165, 13156  -   74
17118, 24796, 24059, 23472, 34401, 24651, 44615, 13156, 24450  -   75
24796, 24059, 23472, 34401, 24651, 44615, 30274, 24450, 17118  -   76
24059, 23472, 34401, 24651, 44615, 30274, 49246, 17118, 24796  -   77
23472, 34401, 24651, 44615, 30274, 49246, 41177, 24796, 24059  -   78
34401, 24651, 44615, 30274, 49246, 41177, 48268, 24059, 23472  -   79
24651, 44615, 30274, 49246, 41177, 48268, 58460, 23472, 34401  -   80
44615, 30274, 49246, 41177, 48268, 58460, 48123, 34401, 24651  -   81
30274, 49246, 41177, 48268, 58460, 48123, 79016, 24651, 44615  -   82
49246, 41177, 48268, 58460, 48123, 79016, 54925, 44615, 30274  -   83
41177, 48268, 58460, 48123, 79016, 54925, 93861, 30274, 49246  -   84
48268, 58460, 48123, 79016, 54925, 93861, 71451, 49246, 41177  -   85
58460, 48123, 79016, 54925, 93861, 71451, 97514, 41177, 48268  -   86
48123, 79016, 54925, 93861, 71451, 97514, 99637, 48268, 58460  -   87
79016, 54925, 93861, 71451, 97514, 99637, 96391, 58460, 48123  -   88
54925, 93861, 71451, 97514, 99637, 96391, 137476, 48123, 79016  -   89
93861, 71451, 97514, 99637, 96391, 137476, 103048, 79016, 54925  -   90
71451, 97514, 99637, 96391, 137476, 103048, 172877, 54925, 93861  -   91
97514, 99637, 96391, 137476, 103048, 172877, 126376, 93861, 71451  -   92
99637, 96391, 137476, 103048, 172877, 126376, 191375, 71451, 97514  -   93
96391, 137476, 103048, 172877, 126376, 191375, 171088, 97514, 99637  -   94
137476, 103048, 172877, 126376, 191375, 171088, 193905, 99637, 96391  -   95
103048, 172877, 126376, 191375, 171088, 193905, 237113, 96391, 137476  -   96
172877, 126376, 191375, 171088, 193905, 237113, 199439, 137476, 103048  -   97
126376, 191375, 171088, 193905, 237113, 199439, 310353, 103048, 172877  -   98
191375, 171088, 193905, 237113, 199439, 310353, 229424, 172877, 126376  -   99
171088, 193905, 237113, 199439, 310353, 229424, 364252, 126376, 191375  -   100
193905, 237113, 199439, 310353, 229424, 364252, 297464, 191375, 171088  -   101
237113, 199439, 310353, 229424, 364252, 297464, 385280, 171088, 193905  -   102
199439, 310353, 229424, 364252, 297464, 385280, 408201, 193905, 237113  -   103
310353, 229424, 364252, 297464, 385280, 408201, 393344, 237113, 199439  -   104
229424, 364252, 297464, 385280, 408201, 393344, 547466, 199439, 310353  -   105
364252, 297464, 385280, 408201, 393344, 547466, 428863, 310353, 229424  -   106
297464, 385280, 408201, 393344, 547466, 428863, 674605, 229424, 364252  -   107
385280, 408201, 393344, 547466, 428863, 674605, 526888, 364252, 297464  -   108
408201, 393344, 547466, 428863, 674605, 526888, 749532, 297464, 385280  -   109
393344, 547466, 428863, 674605, 526888, 749532, 705665, 385280, 408201  -   110
547466, 428863, 674605, 526888, 749532, 705665, 778624, 408201, 393344  -   111
428863, 674605, 526888, 749532, 705665, 778624, 955667, 393344, 547466  -   112
674605, 526888, 749532, 705665, 778624, 955667, 822207, 547466, 428863  -   113
526888, 749532, 705665, 778624, 955667, 822207, 1222071, 428863, 674605  -   114
749532, 705665, 778624, 955667, 822207, 1222071, 955751, 674605, 526888  -   115
705665, 778624, 955667, 822207, 1222071, 955751, 1424137, 526888, 749532  -   116
778624, 955667, 822207, 1222071, 955751, 1424137, 1232553, 749532, 705665  -   117
955667, 822207, 1222071, 955751, 1424137, 1232553, 1528156, 705665, 778624  -   118
822207, 1222071, 955751, 1424137, 1232553, 1528156, 1661332, 778624, 955667  -   119
1222071, 955751, 1424137, 1232553, 1528156, 1661332, 1600831, 955667, 822207  -   120
955751, 1424137, 1232553, 1528156, 1661332, 1600831, 2177738, 822207, 1222071  -   121
1424137, 1232553, 1528156, 1661332, 1600831, 2177738, 1777958, 1222071, 955751  -   122
1232553, 1528156, 1661332, 1600831, 2177738, 1777958, 2646208, 955751, 1424137  -   123
1528156, 1661332, 1600831, 2177738, 1777958, 2646208, 2188304, 1424137, 1232553  -   124
1661332, 1600831, 2177738, 1777958, 2646208, 2188304, 2952293, 1232553, 1528156  -   125
1600831, 2177738, 1777958, 2646208, 2188304, 2952293, 2893885, 1528156, 1661332  -   126
2177738, 1777958, 2646208, 2188304, 2952293, 2893885, 3128987, 1661332, 1600831  -   127
1777958, 2646208, 2188304, 2952293, 2893885, 3128987, 3839070, 1600831, 2177738  -   128
2646208, 2188304, 2952293, 2893885, 3128987, 3839070, 3378789, 2177738, 1777958  -   129
2188304, 2952293, 2893885, 3128987, 3839070, 3378789, 4823946, 1777958, 2646208  -   130
2952293, 2893885, 3128987, 3839070, 3378789, 4823946, 3966262, 2646208, 2188304  -   131
2893885, 3128987, 3839070, 3378789, 4823946, 3966262, 5598501, 2188304, 2952293  -   132
3128987, 3839070, 3378789, 4823946, 3966262, 5598501, 5082189, 2952293, 2893885  -   133
3839070, 3378789, 4823946, 3966262, 5598501, 5082189, 6081280, 2893885, 3128987  -   134
3378789, 4823946, 3966262, 5598501, 5082189, 6081280, 6732955, 3128987, 3839070  -   135
4823946, 3966262, 5598501, 5082189, 6081280, 6732955, 6507776, 3839070, 3378789  -   136
3966262, 5598501, 5082189, 6081280, 6732955, 6507776, 8663016, 3378789, 4823946  -   137
5598501, 5082189, 6081280, 6732955, 6507776, 8663016, 7345051, 4823946, 3966262  -   138
5082189, 6081280, 6732955, 6507776, 8663016, 7345051, 10422447, 3966262, 5598501  -   139
6081280, 6732955, 6507776, 8663016, 7345051, 10422447, 9048451, 5598501, 5082189  -   140
6732955, 6507776, 8663016, 7345051, 10422447, 9048451, 11679781, 5082189, 6081280  -   141
6507776, 8663016, 7345051, 10422447, 9048451, 11679781, 11815144, 6081280, 6732955  -   142
8663016, 7345051, 10422447, 9048451, 11679781, 11815144, 12589056, 6732955, 6507776  -   143
7345051, 10422447, 9048451, 11679781, 11815144, 12589056, 15395971, 6507776, 8663016  -   144
10422447, 9048451, 11679781, 11815144, 12589056, 15395971, 13852827, 8663016, 7345051  -   145
9048451, 11679781, 11815144, 12589056, 15395971, 13852827, 19085463, 7345051, 10422447  -   146
11679781, 11815144, 12589056, 15395971, 13852827, 19085463, 16393502, 10422447, 9048451  -   147
11815144, 12589056, 15395971, 13852827, 19085463, 16393502, 22102228, 9048451, 11679781  -   148
12589056, 15395971, 13852827, 19085463, 16393502, 22102228, 20863595, 11679781, 11815144  -   149
15395971, 13852827, 19085463, 16393502, 22102228, 20863595, 24268837, 11815144, 12589056  -   150
13852827, 19085463, 16393502, 22102228, 20863595, 24268837, 27211115, 12589056, 15395971  -   151
19085463, 16393502, 22102228, 20863595, 24268837, 27211115, 26441883, 15395971, 13852827  -   152
16393502, 22102228, 20863595, 24268837, 27211115, 26441883, 34481434, 13852827, 19085463  -   153
22102228, 20863595, 24268837, 27211115, 26441883, 34481434, 30246329, 19085463, 16393502  -   154
20863595, 24268837, 27211115, 26441883, 34481434, 30246329, 41187691, 16393502, 22102228  -   155
24268837, 27211115, 26441883, 34481434, 30246329, 41187691, 37257097, 22102228, 20863595  -   156
27211115, 26441883, 34481434, 30246329, 41187691, 37257097, 46371065, 20863595, 24268837  -   157
26441883, 34481434, 30246329, 41187691, 37257097, 46371065, 48074710, 24268837, 27211115  -   158
34481434, 30246329, 41187691, 37257097, 46371065, 48074710, 50710720, 27211115, 26441883  -   159
30246329, 41187691, 37257097, 46371065, 48074710, 50710720, 61692549, 26441883, 34481434  -   160
41187691, 37257097, 46371065, 48074710, 50710720, 61692549, 56688212, 34481434, 30246329  -   161
37257097, 46371065, 48074710, 50710720, 61692549, 56688212, 75669125, 30246329, 41187691  -   162
46371065, 48074710, 50710720, 61692549, 56688212, 75669125, 67503426, 41187691, 37257097  -   163
48074710, 50710720, 61692549, 56688212, 75669125, 67503426, 87558756, 37257097, 46371065  -   164
50710720, 61692549, 56688212, 75669125, 67503426, 87558756, 85331807, 46371065, 48074710  -   165
61692549, 56688212, 75669125, 67503426, 87558756, 85331807, 97081785, 48074710, 50710720  -   166
56688212, 75669125, 67503426, 87558756, 85331807, 97081785, 109767259, 50710720, 61692549  -   167
75669125, 67503426, 87558756, 85331807, 97081785, 109767259, 107398932, 61692549, 56688212  -   168
67503426, 87558756, 85331807, 97081785, 109767259, 107398932, 137361674, 56688212, 75669125  -   169
87558756, 85331807, 97081785, 109767259, 107398932, 137361674, 124191638, 75669125, 67503426  -   170
85331807, 97081785, 109767259, 107398932, 137361674, 124191638, 163227881, 67503426, 87558756  -   171
97081785, 109767259, 107398932, 137361674, 124191638, 163227881, 152835233, 87558756, 85331807  -   172
109767259, 107398932, 137361674, 124191638, 163227881, 152835233, 184640541, 85331807, 97081785  -   173
107398932, 137361674, 124191638, 163227881, 152835233, 184640541, 195099066, 97081785, 109767259  -   174
137361674, 124191638, 163227881, 152835233, 184640541, 195099066, 204480717, 109767259, 107398932  -   175
124191638, 163227881, 152835233, 184640541, 195099066, 204480717, 247128933, 107398932, 137361674  -   176
163227881, 152835233, 184640541, 195099066, 204480717, 247128933, 231590570, 137361674, 124191638  -   177
152835233, 184640541, 195099066, 204480717, 247128933, 231590570, 300589555, 124191638, 163227881  -   178
184640541, 195099066, 204480717, 247128933, 231590570, 300589555, 277026871, 163227881, 152835233  -   179
195099066, 204480717, 247128933, 231590570, 300589555, 277026871, 347868422, 152835233, 184640541  -   180
204480717, 247128933, 231590570, 300589555, 277026871, 347868422, 347934299, 184640541, 195099066  -   181
247128933, 231590570, 300589555, 277026871, 347868422, 347934299, 389121258, 195099066, 204480717  -   182
231590570, 300589555, 277026871, 347868422, 347934299, 389121258, 442227999, 204480717, 247128933  -   183
300589555, 277026871, 347868422, 347934299, 389121258, 442227999, 436071287, 247128933, 231590570  -   184
277026871, 347868422, 347934299, 389121258, 442227999, 436071287, 547718488, 231590570, 300589555  -   185
347868422, 347934299, 389121258, 442227999, 436071287, 547718488, 508617441, 300589555, 277026871  -   186
347934299, 389121258, 442227999, 436071287, 547718488, 508617441, 648457977, 277026871, 347868422  -   187
389121258, 442227999, 436071287, 547718488, 508617441, 648457977, 624961170, 347868422, 347934299  -   188
442227999, 436071287, 547718488, 508617441, 648457977, 624961170, 736989680, 347934299, 389121258  -   189
436071287, 547718488, 508617441, 648457977, 624961170, 736989680, 790162298, 389121258, 442227999  -   190
547718488, 508617441, 648457977, 624961170, 736989680, 790162298, 825192545, 442227999, 436071287  -   191
508617441, 648457977, 624961170, 736989680, 790162298, 825192545, 989946487, 436071287, 547718488  -   192
648457977, 624961170, 736989680, 790162298, 825192545, 989946487, 944688728, 547718488, 508617441  -   193
624961170, 736989680, 790162298, 825192545, 989946487, 944688728, 1196176465, 508617441, 648457977  -   194
736989680, 790162298, 825192545, 989946487, 944688728, 1196176465, 1133578611, 648457977, 624961170  -   195
790162298, 825192545, 989946487, 944688728, 1196176465, 1133578611, 1385447657, 624961170, 736989680  -   196
825192545, 989946487, 944688728, 1196176465, 1133578611, 1385447657, 1415123468, 736989680, 790162298  -   197
989946487, 944688728, 1196176465, 1133578611, 1385447657, 1415123468, 1562182225, 790162298, 825192545  -   198
944688728, 1196176465, 1133578611, 1385447657, 1415123468, 1562182225, 1780108785, 825192545, 989946487  -   199
1196176465, 1133578611, 1385447657, 1415123468, 1562182225, 1780108785, 1769881273, 989946487, 944688728  -   200
1133578611, 1385447657, 1415123468, 1562182225, 1780108785, 1769881273, 2186122952, 944688728, 1196176465  -   201
1385447657, 1415123468, 1562182225, 1780108785, 1769881273, 2186122952, 2078267339, 1196176465, 1133578611  -   202
1415123468, 1562182225, 1780108785, 1769881273, 2186122952, 2078267339, 2581624122, 1133578611, 1385447657  -   203
1562182225, 1780108785, 1769881273, 2186122952, 2078267339, 2581624122, 2548702079, 1385447657, 1415123468  -   204
1780108785, 1769881273, 2186122952, 2078267339, 2581624122, 2548702079, 2947629882, 1415123468, 1562182225  -   205
1769881273, 2186122952, 2078267339, 2581624122, 2548702079, 2947629882, 3195232253, 1562182225, 1780108785  -   206
2186122952, 2078267339, 2581624122, 2548702079, 2947629882, 3195232253, 3332063498, 1780108785, 1769881273  -   207
2078267339, 2581624122, 2548702079, 2947629882, 3195232253, 3332063498, 3966231737, 1769881273, 2186122952  -   208
2581624122, 2548702079, 2947629882, 3195232253, 3332063498, 3966231737, 3848148612, 2186122952, 2078267339  -   209
2548702079, 2947629882, 3195232253, 3332063498, 3966231737, 3848148612, 4767747074, 2078267339, 2581624122  -   210
2947629882, 3195232253, 3332063498, 3966231737, 3848148612, 4767747074, 4626969418, 2581624122, 2548702079  -   211
3195232253, 3332063498, 3966231737, 3848148612, 4767747074, 4626969418, 5529254004, 2548702079, 2947629882  -   212
3332063498, 3966231737, 3848148612, 4767747074, 4626969418, 5529254004, 5743934332, 2947629882, 3195232253  -   213
3966231737, 3848148612, 4767747074, 4626969418, 5529254004, 5743934332, 6279693380, 3195232253, 3332063498  -   214
3848148612, 4767747074, 4626969418, 5529254004, 5743934332, 6279693380, 7161463990, 3332063498, 3966231737  -   215
4767747074, 4626969418, 5529254004, 5743934332, 6279693380, 7161463990, 7180212110, 3966231737, 3848148612  -   216
4626969418, 5529254004, 5743934332, 6279693380, 7161463990, 7180212110, 8733978811, 3848148612, 4767747074  -   217
5529254004, 5743934332, 6279693380, 7161463990, 7180212110, 8733978811, 8475118030, 4767747074, 4626969418  -   218
5743934332, 6279693380, 7161463990, 7180212110, 8733978811, 8475118030, 10297001078, 4626969418, 5529254004  -   219
6279693380, 7161463990, 7180212110, 8733978811, 8475118030, 10297001078, 10370903750, 5529254004, 5743934332  -   220
7161463990, 7180212110, 8733978811, 8475118030, 10297001078, 10370903750, 11808947384, 5743934332, 6279693380  -   221
7180212110, 8733978811, 8475118030, 10297001078, 10370903750, 11808947384, 12905398322, 6279693380, 7161463990  -   222
8733978811, 8475118030, 10297001078, 10370903750, 11808947384, 12905398322, 13459905490, 7161463990, 7180212110  -   223
8475118030, 10297001078, 10370903750, 11808947384, 12905398322, 13459905490, 15895442801, 7180212110, 8733978811  -   224
10297001078, 10370903750, 11808947384, 12905398322, 13459905490, 15895442801, 15655330140, 8733978811, 8475118030  -   225
10370903750, 11808947384, 12905398322, 13459905490, 15895442801, 15655330140, 19030979889, 8475118030, 10297001078  -   226
11808947384, 12905398322, 13459905490, 15895442801, 15655330140, 19030979889, 18846021780, 10297001078, 10370903750  -   227
12905398322, 13459905490, 15895442801, 15655330140, 19030979889, 18846021780, 22105948462, 10370903750, 11808947384  -   228
13459905490, 15895442801, 15655330140, 19030979889, 18846021780, 22105948462, 23276302072, 11808947384, 12905398322  -   229
15895442801, 15655330140, 19030979889, 18846021780, 22105948462, 23276302072, 25268852874, 12905398322, 13459905490  -   230
15655330140, 19030979889, 18846021780, 22105948462, 23276302072, 25268852874, 28800841123, 13459905490, 15895442801  -   231
19030979889, 18846021780, 22105948462, 23276302072, 25268852874, 28800841123, 29115235630, 15895442801, 15655330140  -   232
18846021780, 22105948462, 23276302072, 25268852874, 28800841123, 29115235630, 34926422690, 15655330140, 19030979889  -   233
22105948462, 23276302072, 25268852874, 28800841123, 29115235630, 34926422690, 34501351920, 19030979889, 18846021780  -   234
23276302072, 25268852874, 28800841123, 29115235630, 34926422690, 34501351920, 41136928351, 18846021780, 22105948462  -   235
25268852874, 28800841123, 29115235630, 34926422690, 34501351920, 41136928351, 42122323852, 22105948462, 23276302072  -   236
28800841123, 29115235630, 34926422690, 34501351920, 41136928351, 42122323852, 47374801336, 23276302072, 25268852874  -   237
29115235630, 34926422690, 34501351920, 41136928351, 42122323852, 47374801336, 52077143195, 25268852874, 28800841123  -   238
34926422690, 34501351920, 41136928351, 42122323852, 47374801336, 52077143195, 54384088504, 28800841123, 29115235630  -   239
34501351920, 41136928351, 42122323852, 47374801336, 52077143195, 54384088504, 63727263813, 29115235630, 34926422690  -   240
41136928351, 42122323852, 47374801336, 52077143195, 54384088504, 63727263813, 63616587550, 34926422690, 34501351920  -   241
42122323852, 47374801336, 52077143195, 54384088504, 63727263813, 63616587550, 76063351041, 34501351920, 41136928351  -   242
47374801336, 52077143195, 54384088504, 63727263813, 63616587550, 76063351041, 76623675772, 41136928351, 42122323852  -   243
52077143195, 54384088504, 63727263813, 63616587550, 76063351041, 76623675772, 88511729687, 42122323852, 47374801336  -   244
54384088504, 63727263813, 63616587550, 76063351041, 76623675772, 88511729687, 94199467047, 47374801336, 52077143195  -   245
63727263813, 63616587550, 76063351041, 76623675772, 88511729687, 94199467047, 101758889840, 52077143195, 54384088504  -   246
63616587550, 76063351041, 76623675772, 88511729687, 94199467047, 101758889840, 115804407008, 54384088504, 63727263813  -   247
76063351041, 76623675772, 88511729687, 94199467047, 101758889840, 115804407008, 118000676054, 63727263813, 63616587550  -   248
76623675772, 88511729687, 94199467047, 101758889840, 115804407008, 118000676054, 139790614854, 63616587550, 76063351041  -   249
88511729687, 94199467047, 101758889840, 115804407008, 118000676054, 139790614854, 140240263322, 76063351041, 76623675772  -   250
94199467047, 101758889840, 115804407008, 118000676054, 139790614854, 140240263322, 164575080728, 76623675772, 88511729687  -   251
101758889840, 115804407008, 118000676054, 139790614854, 140240263322, 164575080728, 170823142819, 88511729687, 94199467047  -   252
115804407008, 118000676054, 139790614854, 140240263322, 164575080728, 170823142819, 190270619527, 94199467047, 101758889840  -   253
118000676054, 139790614854, 140240263322, 164575080728, 170823142819, 190270619527, 210003874055, 101758889840, 115804407008  -   254
139790614854, 140240263322, 164575080728, 170823142819, 190270619527, 210003874055, 219759565894, 115804407008, 118000676054  -   255
140240263322, 164575080728, 170823142819, 190270619527, 210003874055, 219759565894, 255595021862, 118000676054, 139790614854  -   256

Total: 1609058859115
